Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
M/AM (RC),34.06160164271047,7,8,11,51,6.7,11,8,10,10,14,3000,92,122,10,107,81
D (C),41.49486652977413,18,17,8,4380,6.84,14,13,6,14,1,2400,70,120,3,46,60
GK,36.02464065708419,12,13,11,540,6.77,13,12,13,9,5,2000,73,112,6,85,67
"AM (LC), ST (C)",35.24435318275154,18,15,12,3703,7.21,13,16,12,10,14,1250,69,105,3,46,65
D (C),35.331964407939765,15,16,15,3837,6.56,11,12,12,17,6,2900,103,128,12,107,95
"WB (L), M/AM (RL)",33.80971937029432,12,14,13,105,6.73,14,10,14,13,7,5000,124,141,15,185,114
D (C),35.285420944558524,10,14,12,2070,6.67,13,8,12,7,7,1400,91,106,5,66,80
D (RC),34.62286105407255,16,11,10,341,6.72,10,12,15,12,7,4000,113,131,14,134,105
"D (C), DM, M (C)",35.12662559890486,15,15,15,4013,6.76,13,13,13,11,10,2250,78,120,12,46,68
D (C),33.89185489390828,15,13,15,3329,6.74,12,13,13,14,12,4950,112,130,6,120,104
"D (RC), DM, M (C)",33.08145106091718,16,12,9,2203,6.95,11,7,15,10,3,2000,82,90,7,85,80
"DM, M (C)",33.492128678986994,17,10,14,555,7.05,14,14,13,8,7,7300,156,176,18,178,149
D (RL),30.926762491444215,15,12,14,1119,6.93,13,13,11,13,13,5000,115,145,14,130,111
"WB (R), M/AM (RL)",29.207392197125255,13,15,12,0,0.0,10,11,12,10,15,3500,120,134,16,161,117
"D (C), DM",29.08145106091718,11,12,11,2853,7.01,10,10,11,20,8,2350,97,103,12,73,96
AM (C),28.78028747433265,8,5,12,2067,6.95,7,10,12,10,14,1500,87,95,3,66,86
D/WB (L),29.43463381245722,10,14,12,917,6.73,10,11,11,12,7,2000,90,110,5,91,89
"AM (L), ST (C)",28.91170431211499,9,9,9,1378,6.71,8,10,8,12,14,2200,84,105,11,85,82
"AM (LC), ST (C)",30.05612594113621,13,12,10,58,6.75,10,11,15,11,10,3500,104,112,12,96,100
"M (LC), AM (RLC), ST (C)",31.208761122518823,14,12,14,2755,6.8,12,12,10,8,5,4800,124,127,11,160,122
"DM, M (C)",30.132785763175907,9,13,13,2683,6.91,11,11,11,8,5,3700,106,120,16,110,105
D (LC),30.94866529774127,10,13,11,1582,6.95,12,10,12,16,9,3400,107,117,16,110,103
D (C),29.7741273100616,14,12,11,2816,6.88,13,14,13,13,8,4500,126,128,15,160,126
GK,29.39356605065024,7,15,9,3780,6.96,11,11,11,16,4,4250,109,111,16,110,109
"DM, M (C)",28.49555099247091,10,9,13,2138,6.9,12,8,10,12,7,3000,125,145,13,130,124
"D (C), DM",29.188227241615333,12,12,10,2791,6.76,11,11,13,11,9,1750,101,102,11,107,101
D (C),29.31690622861054,11,4,10,2972,6.82,9,9,11,8,8,2900,97,98,11,96,97
GK,27.567419575633128,12,10,11,2696,6.73,6,14,11,14,6,3900,117,117,14,140,117
"D (C), DM",31.50444900752909,16,13,14,2515,6.63,1,12,16,12,7,6200,139,150,13,178,138
"D (C), DM",31.802874743326488,13,11,12,1597,6.74,3,10,13,7,13,2750,89,103,11,94,83
ST (C),29.13347022587269,13,8,12,2507,7.05,8,11,11,14,5,1750,92,103,4,66,92
D (C),29.190965092402465,10,9,10,2070,6.63,18,10,10,11,10,1000,82,90,6,66,79
D/WB (L),28.6652977412731,14,14,12,2832,6.75,9,12,12,8,6,1750,98,102,12,85,98
"DM, M (C)",28.531143052703626,13,16,8,2104,6.8,1,8,9,20,9,1000,82,90,6,66,81
GK,26.69678302532512,14,12,14,3630,6.89,15,12,12,19,8,3800,117,135,6,117,117
D (C),27.526351813826146,13,3,10,2597,6.89,14,10,12,9,5,2000,90,125,4,66,88
"D (LC), WB (L)",26.833675564681723,13,12,14,3950,6.81,13,10,12,10,7,4500,115,115,12,147,115
"DM, M (C)",28.150581793292265,10,10,8,1513,6.55,6,10,10,10,10,850,76,84,5,66,74
"DM, M/AM (C)",28.317590691307323,16,15,15,2613,6.9,12,12,13,12,6,4500,135,142,16,161,135
AM (RLC),26.55167693360712,14,13,12,628,6.79,13,12,11,12,7,2500,108,115,11,117,108
ST (C),27.326488706365502,13,13,11,104,6.63,16,12,12,12,7,4750,125,130,13,173,125
"M/AM (R), ST (C)",32.43805612594114,8,10,11,1158,7.13,12,10,12,15,8,2250,94,102,4,66,85
D/WB (L),25.53867214236824,10,4,12,3402,6.84,9,10,10,7,4,1650,91,120,10,85,98
M/AM (C),24.862422997946613,14,9,8,4422,6.88,1,7,9,16,2,600,68,109,9,46,68
D/WB/M (R),25.519507186858316,10,11,9,2898,6.86,9,8,7,11,13,1750,87,118,11,85,91
"DM, M (C)",26.803559206023273,9,17,11,3401,6.93,8,9,9,17,7,1750,80,90,10,72,80
"DM, M/AM (C)",25.415468856947296,11,12,8,472,6.58,8,11,8,7,17,1750,82,102,10,107,82
ST (C),26.00684462696783,12,3,8,1675,6.93,7,10,8,20,5,1400,85,100,9,72,85
M/AM (C),26.083504449007528,14,14,14,2618,7.15,12,10,12,12,6,5000,127,130,15,160,127
D/WB (R),29.52498288843258,13,10,13,548,6.69,12,13,13,18,5,3500,104,109,11,160,104
"DM, M (C)",22.902121834360027,15,14,13,3761,6.86,15,14,14,8,14,3900,118,140,12,116,121
"AM (LC), ST (C)",24.53388090349076,12,12,12,3238,6.88,8,13,10,14,6,2550,101,122,8,87,103
"DM, M (LC), AM (C)",21.749486652977414,11,10,12,2290,6.66,8,8,10,11,3,1750,88,110,10,107,88
WB/M/AM (L),21.73305954825462,14,14,13,3294,7.02,10,12,12,13,5,3400,121,130,9,134,122
"D/WB (L), M/AM (C)",21.470225872689937,13,13,12,3855,6.97,9,11,11,12,5,2750,114,136,8,107,117
"AM (C), ST (C)",21.163586584531142,14,15,14,118,6.6,9,14,10,10,6,3750,113,145,18,134,113
GK,21.61533196440794,12,14,8,0,0.0,17,14,9,11,9,1000,65,75,13,85,65
"M (C), AM (LC)",21.169062286105408,11,10,12,2501,6.79,11,13,7,13,8,2350,101,126,11,107,104
"AM (RL), ST (C)",21.809719370294317,15,19,10,2122,6.85,11,9,10,11,5,1700,105,130,5,107,110
D (C),21.125256673511295,15,14,9,1523,6.83,7,10,8,10,5,400,57,89,2,46,64
"DM, M (C)",23.277207392197127,12,9,10,2358,6.6,12,9,10,15,4,2250,90,115,8,107,95
"AM (RL), ST (C)",20.175222450376456,10,13,15,15,6.6,10,14,7,20,5,1250,84,93,14,134,84
D/WB (R),21.308692676249144,11,5,9,180,6.45,7,9,12,17,10,1000,75,90,14,134,75
D (C),22.245037645448324,12,5,10,44,6.6,2,10,8,20,8,1550,81,109,8,87,81
"D (RC), WB (R)",20.123203285420946,14,14,14,1652,6.97,12,12,12,12,10,3000,110,131,19,87,112
AM (C),22.028747433264886,13,6,12,794,6.87,8,10,6,7,6,1450,79,104,8,73,80
"D (C), DM, M/AM (C)",22.012320328542096,9,2,11,316,6.64,4,15,11,14,11,2300,96,115,10,87,96
"AM (RC), ST (C)",23.77549623545517,11,12,13,1528,6.68,5,10,7,7,4,2500,85,118,9,85,88
D (C),40.34770704996578,20,18,18,3591,6.98,18,17,16,16,14,7000,154,165,16,158,137
D (C),39.70704996577687,18,19,15,3420,6.88,18,18,14,16,7,5000,135,160,17,161,122
GK,24.254620123203285,12,9,11,2813,6.81,13,11,17,20,8,1000,78,87,8,85,78
AM (RL),27.509924709103355,7,12,9,1881,6.94,4,5,10,4,7,1250,86,86,13,85,85
D (C),36.38329911019849,16,15,13,2594,7.09,10,8,14,7,7,2750,106,115,12,96,98
M/AM (C),37.81245722108145,20,17,15,2418,7.04,16,17,15,10,11,7850,171,180,18,178,154
GK,36.24640657084189,15,12,13,2790,6.78,12,14,12,18,7,1500,95,125,8,91,91
GK,35.80287474332649,15,13,14,0,0.0,13,10,12,19,7,2000,95,105,11,130,90
"D (C), DM",37.61533196440794,16,15,16,1471,6.62,15,15,13,12,7,1500,90,115,4,91,80
D/WB (RL),35.46611909650924,16,15,14,2545,6.63,14,14,14,14,7,1500,95,110,5,91,85
GK,39.21149897330596,16,14,12,3540,6.8,10,13,12,8,8,2550,106,128,14,104,96
GK,35.9917864476386,15,13,13,1204,6.83,14,10,13,12,6,3750,106,134,13,134,103
GK,38.20670773442848,18,15,14,810,6.63,15,10,15,16,10,6250,135,154,14,185,124
ST (C),34.86379192334018,18,18,18,3758,6.97,15,16,15,15,2,8600,178,190,19,178,172
GK,36.492813141683776,13,14,17,480,6.55,15,17,9,15,5,4250,116,135,15,160,109
M/AM (LC),37.39082819986311,15,16,15,2959,7.08,10,9,13,11,5,1750,90,120,8,86,79
"AM (L), ST (C)",40.90075290896646,16,15,15,2256,7.13,7,13,15,14,8,3300,106,125,10,87,96
D (C),36.63791923340178,16,16,14,2079,6.67,12,13,14,13,6,3950,119,125,13,158,111
M/AM (C),40.99657768651608,12,13,13,2421,6.89,13,17,12,12,8,2500,96,110,12,86,83
GK,42.275154004106774,8,7,8,0,0.0,6,9,5,9,6,600,60,70,13,86,48
D (C),39.52908966461328,14,13,16,1443,6.75,14,14,16,12,11,5850,137,146,18,158,118
"DM, M (C)",36.09582477754962,13,14,12,1220,6.95,4,13,14,15,17,1650,88,93,15,86,77
"DM, M (C)",39.044490075290895,13,17,12,2581,6.86,10,12,11,12,13,1750,90,95,8,86,80
GK,35.493497604380565,13,17,14,3510,6.86,8,8,7,11,5,3400,118,126,12,104,114
GK,40.99110198494182,16,10,15,2430,6.87,10,11,12,11,11,2150,98,124,12,94,87
"DM, M (C)",37.14442162902122,19,17,16,2993,6.99,13,17,15,14,8,5600,121,157,11,120,111
"DM, M/AM (C)",36.81587953456537,17,16,17,3046,6.96,16,16,17,13,8,6000,140,154,18,158,129
D/WB/M (RL),37.437371663244356,16,16,12,2007,6.7,13,15,13,15,16,3000,115,150,14,130,104
GK,36.407939767282684,16,12,13,270,6.93,8,6,11,10,5,1750,82,90,12,94,75
"AM (RL), ST (C)",36.4517453798768,12,14,17,34,6.6,9,12,9,9,8,1950,91,102,15,94,78
"DM, M (C)",36.271047227926076,17,16,13,2939,7.18,15,15,16,12,5,2750,105,113,12,94,97
"AM (RLC), ST (C)",36.48459958932238,11,12,16,1971,6.63,9,8,9,12,8,3000,108,118,15,104,98
GK,36.61875427789185,15,13,12,3067,6.86,12,13,14,12,10,4500,122,122,8,158,115
AM (RL),35.04175222450377,16,13,10,2348,6.84,12,11,10,13,11,2500,100,115,15,94,91
"D (C), DM, M (C)",39.455167693360714,20,13,15,989,6.79,16,19,15,13,10,5500,130,136,15,173,113
ST (C),37.21286789869952,18,14,15,2297,6.76,15,14,12,12,5,5250,121,143,14,147,106
"AM (RLC), ST (C)",34.809034907597535,15,11,10,3007,7.21,11,10,9,11,11,5100,132,150,13,87,122
GK,41.60164271047228,14,12,6,1530,6.48,14,10,12,9,7,3000,110,115,8,73,98
D (C),40.11225188227242,17,13,16,3420,6.77,14,16,14,17,10,3500,117,133,11,120,107
GK,39.98631074606434,19,19,8,0,0.0,10,15,13,14,9,5000,120,143,19,173,106
GK,41.27857631759069,10,13,12,2700,6.61,12,9,13,12,7,2300,94,102,8,80,82
"DM, M (C)",40.98015058179329,20,16,14,3255,6.86,16,20,14,14,2,2300,93,126,8,80,82
"AM (R), ST (C)",38.72689938398357,15,16,14,0,0.0,15,14,13,10,12,1900,78,122,6,80,67
GK,39.43874058863792,12,13,15,0,0.0,10,12,12,13,4,3250,105,135,18,160,94
GK,37.4757015742642,15,10,9,0,0.0,13,8,7,8,11,3250,105,145,12,160,94
GK,39.64955509924709,17,17,13,0,0.0,14,16,15,11,10,5000,129,136,18,160,113
GK,34.332648870636554,16,14,10,0,0.0,12,15,11,15,9,3750,109,125,9,160,102
GK,35.24709103353867,16,14,11,270,6.67,13,14,11,16,13,5400,123,152,14,185,120
GK,34.40109514031485,10,8,16,2880,6.71,12,6,11,13,6,5000,120,132,18,160,116
"AM (L), ST (C)",34.42847364818618,13,12,14,1078,6.93,11,10,13,8,11,4400,125,137,15,160,114
"DM, M/AM (C)",35.80287474332649,16,13,16,1085,6.73,13,10,12,18,13,4500,114,150,12,160,103
"DM, M (C)",35.14305270362765,12,19,12,1891,6.95,15,14,14,14,10,4750,110,130,15,96,99
D/WB (L),34.38740588637919,9,5,5,3264,6.86,8,7,10,11,10,4250,109,130,11,110,98
D (RC),33.89733059548254,13,15,9,2895,6.74,11,12,12,8,4,3250,101,103,8,110,91
"AM (C), ST (C)",34.12457221081451,12,12,14,1904,6.77,11,12,14,10,6,4250,110,121,10,160,99
"DM, M (C)",38.31895961670089,13,7,9,3332,7.14,14,7,12,12,8,4650,108,136,14,87,96
"D/WB (R), DM, M (C)",33.02395619438741,9,13,14,1272,6.75,10,12,10,12,9,4750,114,125,13,160,102
D/WB/M (L),32.84325804243669,14,6,15,0,0.0,10,13,12,15,6,4600,130,134,18,160,119
"D (RLC), WB (R), DM",33.80150581793292,15,11,12,2685,6.91,13,11,13,12,14,3500,106,123,15,110,96
"DM, M (C)",41.01848049281314,15,14,13,352,6.82,13,12,14,15,7,1850,84,116,14,80,73
"D (RC), WB (R)",39.1895961670089,12,13,11,2014,6.83,14,9,13,11,7,1750,95,102,5,66,84
"D (C), DM, M (C)",39.455167693360714,15,16,15,1620,6.76,14,15,12,12,5,3750,110,135,6,91,99
"DM, M (C)",36.17796030116359,15,15,12,2880,6.88,14,12,12,11,6,3750,123,129,10,117,111
"DM, M/AM (C)",37.100616016427104,17,15,13,2939,6.92,16,14,16,8,8,5000,121,140,12,160,107
D (C),34.26967830253251,20,20,18,497,6.76,15,14,16,15,11,6250,140,155,19,173,136
ST (C),37.39082819986311,17,16,16,21,7.7,17,19,14,14,15,5800,127,176,12,178,112
AM (LC),35.37850787132101,14,15,15,49,6.6,14,14,11,16,12,6000,131,161,10,173,118
M/AM (C),35.18412046543463,16,14,8,2789,6.81,14,12,16,10,6,5500,134,142,12,178,129
D/WB/M (L),36.78302532511978,19,19,15,1583,6.93,12,12,12,17,12,4250,119,139,16,120,115
D (C),36.29568788501027,18,16,13,3415,6.72,12,11,12,14,12,4750,126,150,13,173,121
D (RC),37.95482546201232,14,17,11,2502,6.85,12,13,13,12,8,3750,103,135,8,73,93
"AM (RL), ST (C)",31.307323750855577,10,2,10,21,6.6,5,12,7,8,11,2250,92,108,12,110,82
D (C),35.24435318275154,13,15,11,0,0.0,11,13,12,12,5,3000,89,100,5,80,78
D (C),35.7700205338809,4,13,11,2055,6.64,13,12,13,10,5,4750,125,128,14,120,109
GK,35.162217659137575,14,12,12,4260,6.97,14,12,15,10,5,4500,103,123,12,80,99
D/WB (R),35.34839151266256,18,14,15,2323,6.75,11,10,15,12,5,4250,97,115,12,80,91
D/WB (R),35.95893223819302,14,13,13,2801,7.02,12,12,12,8,7,2450,93,114,8,80,82
D/WB/M (R),35.110198494182065,18,18,18,1207,6.76,12,14,14,13,11,6100,127,144,16,173,119
GK,37.58521560574949,13,8,12,0,0.0,7,13,10,15,11,3700,105,120,12,173,94
"DM, M/AM (C), ST (C)",33.72210814510609,18,17,11,1892,6.73,13,12,14,11,13,4400,126,135,14,173,119
D (C),34.81998631074607,18,18,13,3102,6.69,13,10,13,12,5,2250,94,109,7,80,90
GK,35.24161533196441,14,13,12,0,0.0,8,11,10,15,5,1150,93,93,13,80,90
ST (C),36.48733744010951,16,15,16,2331,6.83,15,14,15,14,8,2800,96,120,6,80,85
"WB (R), M (RC), AM (R)",34.795345653661876,15,15,13,664,6.82,12,14,12,14,9,1700,97,102,10,80,86
D/WB/M (R),37.87816563997262,16,17,13,3052,6.73,13,11,13,11,8,3400,109,114,7,120,100
"DM, M (RC)",34.893908281998634,15,16,14,2930,6.85,15,15,15,5,5,3200,92,115,9,80,85
GK,34.08350444900753,15,12,10,0,0.0,12,12,13,8,11,2800,96,118,6,120,92
ST (C),34.47775496235455,16,13,13,2652,6.87,11,12,9,13,7,3300,102,114,5,80,96
AM (RLC),38.119096509240244,14,13,10,0,0.0,10,13,13,12,14,3550,97,137,5,80,87
D (C),34.17932922655715,11,13,13,3443,6.98,10,12,13,12,6,4250,105,135,14,80,94
ST (C),32.99931553730322,15,16,14,3201,6.94,13,10,15,12,13,4000,101,125,10,80,95
"D (RC), WB (R)",34.81177275838467,20,16,16,3197,6.69,14,16,16,13,10,5750,131,146,10,173,128
"D (RC), WB/M (R)",33.45927446954141,14,15,11,1614,6.83,10,15,12,14,6,2500,100,110,12,80,91
D (RC),33.06776180698152,13,13,13,15,0.0,10,12,12,12,13,3950,115,130,17,120,109
"D (C), DM, M (C)",35.854893908282,16,15,11,2720,6.84,13,12,13,12,8,2550,99,124,7,80,94
ST (C),35.60027378507871,16,16,17,2796,7.09,12,13,13,12,8,4000,104,122,6,80,94
M/AM (RC),39.290896646132786,16,14,13,23,6.7,13,12,15,11,7,4100,124,135,13,87,108
ST (C),37.379876796714576,15,15,8,372,6.95,11,11,13,10,7,4000,110,130,9,87,99
ST (C),37.86721423682409,18,13,13,130,6.77,13,13,13,10,9,5250,120,156,14,116,109
D (LC),37.90280629705681,9,6,11,2784,6.94,12,11,11,11,10,2000,90,115,8,73,78
GK,38.34360027378508,8,14,11,3060,6.61,12,10,12,12,13,2850,107,130,8,73,96
"M/AM (C), ST (C)",36.97741273100616,15,14,14,84,6.67,13,9,12,15,11,5800,131,175,18,178,111
"M (C), AM (RC), ST (C)",38.78713210130048,7,10,12,2750,6.91,10,9,13,10,11,2250,95,140,8,73,83
D/WB/M/AM (L),33.1937029431896,10,13,8,2741,6.58,9,11,10,11,12,3450,109,120,9,87,99
"D/WB/M/AM (R), ST (C)",33.75496235455168,8,12,10,2193,6.59,14,9,10,13,7,5250,105,140,9,87,93
ST (C),38.110882956878854,12,12,12,2223,6.98,15,12,11,14,8,2650,103,105,10,73,92
M/AM (RLC),37.03764544832307,16,14,12,2928,7.11,14,13,13,8,10,3600,102,130,9,73,91
"DM, M/AM (LC)",37.57700205338809,14,14,13,1717,6.87,13,13,14,11,8,3650,113,125,11,116,99
M/AM (C),35.474332648870636,11,10,17,1421,6.78,10,10,13,6,17,4000,110,135,9,116,99
"DM, M (C)",36.80766598220397,10,11,11,1594,6.97,12,12,15,13,14,1600,82,115,8,73,71
"D (C), DM",36.3668720054757,18,14,10,2278,6.76,13,14,16,12,11,2700,94,129,8,73,87
"D (RLC), WB (R), AM (C)",36.134154688569474,13,10,11,2985,6.79,4,11,14,12,8,4400,128,132,13,116,110
"M (C), AM (RLC)",35.07186858316222,17,4,11,3197,6.9,11,14,14,11,4,5000,130,131,12,178,122
"M/AM (R), ST (C)",34.247775496235455,11,10,13,1105,6.75,6,12,10,14,7,1750,85,101,10,73,73
"DM, M (C)",35.81108829568789,14,12,11,2901,7.04,12,12,11,14,13,2850,107,120,9,87,96
D (RLC),35.05544147843943,16,13,12,3042,6.7,14,12,13,5,13,4350,117,134,15,178,113
