index,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
2,36.02464065708419,12,13,11,540,6.77,13,12,13,9,5,2000,73,39,6,85,-6
23,29.39356605065024,7,15,9,3780,6.96,11,11,11,16,4,4250,109,2,16,110,0
27,27.567419575633128,12,10,11,2696,6.73,6,14,11,14,6,3900,117,0,14,140,0
34,26.69678302532512,14,12,14,3630,6.89,15,12,12,19,8,3800,117,18,6,117,0
56,21.61533196440794,12,14,8,0,0.0,17,14,9,11,9,1000,65,10,13,85,0
70,24.254620123203285,12,9,11,2813,6.81,13,11,17,20,8,1000,78,9,8,85,0
74,36.24640657084189,15,12,13,2790,6.78,12,14,12,18,7,1500,95,30,8,91,-4
75,35.80287474332649,15,13,14,0,0.0,13,10,12,19,7,2000,95,10,11,130,-5
78,39.21149897330596,16,14,12,3540,6.8,10,13,12,8,8,2550,106,22,14,104,-10
79,35.9917864476386,15,13,13,1204,6.83,14,10,13,12,6,3750,106,28,13,134,-3
80,38.20670773442848,18,15,14,810,6.63,15,10,15,16,10,6250,135,19,14,185,-11
82,36.492813141683776,13,14,17,480,6.55,15,17,9,15,5,4250,116,19,15,160,-7
87,42.275154004106774,8,7,8,0,0.0,6,9,5,9,6,600,60,10,13,86,-12
91,35.493497604380565,13,17,14,3510,6.86,8,8,7,11,5,3400,118,8,12,104,-4
92,40.99110198494182,16,10,15,2430,6.87,10,11,12,11,11,2150,98,26,12,94,-11
96,36.407939767282684,16,12,13,270,6.93,8,6,11,10,5,1750,82,8,12,94,-7
100,36.61875427789185,15,13,12,3067,6.86,12,13,14,12,10,4500,122,0,8,158,-7
105,41.60164271047228,14,12,6,1530,6.48,14,10,12,9,7,3000,110,5,8,73,-12
107,39.98631074606434,19,19,8,0,0.0,10,15,13,14,9,5000,120,23,19,173,-14
108,41.27857631759069,10,13,12,2700,6.61,12,9,13,12,7,2300,94,8,8,80,-12
111,39.43874058863792,12,13,15,0,0.0,10,12,12,13,4,3250,105,30,18,160,-11
112,37.4757015742642,15,10,9,0,0.0,13,8,7,8,11,3250,105,40,12,160,-11
113,39.64955509924709,17,17,13,0,0.0,14,16,15,11,10,5000,129,7,18,160,-16
114,34.332648870636554,16,14,10,0,0.0,12,15,11,15,9,3750,109,16,9,160,-7
115,35.24709103353867,16,14,11,270,6.67,13,14,11,16,13,5400,123,29,14,185,-3
116,34.40109514031485,10,8,16,2880,6.71,12,6,11,13,6,5000,120,12,18,160,-4
142,35.162217659137575,14,12,12,4260,6.97,14,12,15,10,5,4500,103,20,12,80,-4
146,37.58521560574949,13,8,12,0,0.0,7,13,10,15,11,3700,105,15,12,173,-11
149,35.24161533196441,14,13,12,0,0.0,8,11,10,15,5,1150,93,0,13,80,-3
154,34.08350444900753,15,12,10,0,0.0,12,12,13,8,11,2800,96,22,6,120,-4
168,38.34360027378508,8,14,11,3060,6.61,12,10,12,12,13,2850,107,23,8,73,-11
187,36.47638603696099,12,15,14,240,6.75,12,13,15,17,10,5250,135,15,16,178,-7
188,38.11362080766598,13,6,12,2655,6.78,7,12,13,8,12,2900,98,5,15,73,-11
197,40.446269678302535,18,15,15,2460,6.74,10,13,10,11,13,3000,83,37,10,86,-10
198,42.888432580424364,16,14,11,2160,6.88,13,11,13,12,10,2650,108,24,12,86,-12
199,42.27241615331965,20,19,19,0,0.0,18,15,15,13,12,3750,110,20,12,173,-11
200,41.86447638603696,12,13,12,463,6.78,14,13,14,14,11,1600,67,59,12,85,-11
208,38.691307323750856,8,11,12,0,0.0,12,12,12,11,18,2000,70,65,16,85,-12
210,37.80698151950719,12,13,10,90,6.5,12,3,14,16,4,1000,50,30,2,46,-11
211,37.17453798767967,15,13,11,0,0.0,15,12,15,12,9,3500,82,48,9,72,-11
213,36.43805612594114,13,13,13,0,0.0,12,11,11,13,7,5000,110,28,13,185,-7
214,33.399041752224505,13,12,10,360,6.92,11,11,11,12,3,4000,107,27,13,134,-7
217,34.36824093086927,12,12,10,0,0.0,10,8,11,10,12,2000,90,30,18,134,-5
222,41.451060917180016,11,8,6,0,0.0,10,5,9,4,8,850,50,25,5,46,-11
225,32.87337440109514,17,14,13,3780,6.9,8,13,12,7,8,5600,145,0,18,185,-3
227,40.26283367556468,11,9,11,0,0.0,8,12,8,7,5,400,35,24,3,46,-11
228,37.828884325804246,15,13,15,0,0.0,13,8,12,13,8,4750,118,30,20,185,-11
231,37.01300479123888,17,14,8,3690,6.8,14,12,17,10,6,2500,66,45,3,46,-8
232,37.215605749486656,17,13,10,0,0.0,16,11,14,13,6,5750,126,24,17,185,-10
233,38.562628336755644,14,12,13,0,0.0,12,9,10,11,4,2100,55,55,10,85,-12
238,37.69199178644764,10,10,9,90,6.8,8,9,10,4,5,1650,68,41,11,72,-11
242,37.782340862423,16,14,14,1526,6.94,12,13,10,15,11,3500,85,51,7,72,-11
247,36.6570841889117,10,15,17,3240,6.79,12,15,12,14,4,6000,140,10,18,147,-8
250,35.49075975359343,12,12,12,4140,6.8,12,8,13,10,2,2250,93,22,8,85,-3
253,36.29568788501027,18,12,12,0,0.0,14,10,12,10,7,1750,70,42,13,107,-2
255,37.05681040383299,16,15,12,1215,6.76,12,11,9,10,3,2250,90,30,10,85,-10
256,38.05612594113621,14,14,7,630,6.97,5,12,13,12,5,2500,76,12,9,85,-10
258,35.61670088980151,10,14,11,180,6.75,9,15,9,7,6,3000,114,14,18,134,-8
260,36.780287474332646,15,14,12,0,0.0,13,8,12,9,5,2250,88,27,12,85,-8
261,35.09924709103354,14,15,11,0,0.0,12,12,11,6,6,2500,86,32,17,107,-5
262,36.68993839835729,18,17,13,4230,6.96,13,15,14,1,5,4000,117,28,13,134,-1
263,36.035592060232716,16,17,13,4500,6.62,13,14,14,16,4,5500,119,31,14,134,-2
265,41.040383299110196,15,13,13,3960,6.72,13,15,15,8,5,1000,68,7,4,46,-11
270,34.729637234770706,18,15,15,3420,6.69,15,16,14,13,4,2000,99,0,13,85,-4
273,34.38466803559206,15,13,12,2880,6.81,16,12,17,7,5,5250,127,26,15,125,-5
274,34.80355920602327,11,10,14,90,7.2,10,7,14,11,4,2300,84,31,5,107,-6
