Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
M/AM (RC),34.06160164271047,7,8,11,51,6.7,11,8,10,10,14,3000,92,30,10,107,-11
D (C),41.49486652977413,18,17,8,4380,6.84,14,13,6,14,1,2400,70,50,3,46,-10
GK,36.02464065708419,12,13,11,540,6.77,13,12,13,9,5,2000,73,39,6,85,-6
"AM (LC), ST (C)",35.24435318275154,18,15,12,3703,7.21,13,16,12,10,14,1250,69,36,3,46,-4
D (C),35.331964407939765,15,16,15,3837,6.56,11,12,12,17,6,2900,103,25,12,107,-8
"WB (L), M/AM (RL)",33.80971937029432,12,14,13,105,6.73,14,10,14,13,7,5000,124,17,15,185,-10
D (C),35.285420944558524,10,14,12,2070,6.67,13,8,12,7,7,1400,91,15,5,66,-11
D (RC),34.62286105407255,16,11,10,341,6.72,10,12,15,12,7,4000,113,18,14,134,-8
"D (C), DM, M (C)",35.12662559890486,15,15,15,4013,6.76,13,13,13,11,10,2250,78,42,12,46,-10
D (C),33.89185489390828,15,13,15,3329,6.74,12,13,13,14,12,4950,112,18,6,120,-8
"D (RC), DM, M (C)",33.08145106091718,16,12,9,2203,6.95,11,7,15,10,3,2000,82,8,7,85,-2
"DM, M (C)",33.492128678986994,17,10,14,555,7.05,14,14,13,8,7,7300,156,20,18,178,-7
D (RL),30.926762491444215,15,12,14,1119,6.93,13,13,11,13,13,5000,115,30,14,130,-4
"WB (R), M/AM (RL)",29.207392197125255,13,15,12,0,0.0,10,11,12,10,15,3500,120,14,16,161,-3
"D (C), DM",29.08145106091718,11,12,11,2853,7.01,10,10,11,20,8,2350,97,6,12,73,-1
AM (C),28.78028747433265,8,5,12,2067,6.95,7,10,12,10,14,1500,87,8,3,66,-1
D/WB (L),29.43463381245722,10,14,12,917,6.73,10,11,11,12,7,2000,90,20,5,91,-1
"AM (L), ST (C)",28.91170431211499,9,9,9,1378,6.71,8,10,8,12,14,2200,84,21,11,85,-2
"AM (LC), ST (C)",30.05612594113621,13,12,10,58,6.75,10,11,15,11,10,3500,104,8,12,96,-4
"M (LC), AM (RLC), ST (C)",31.208761122518823,14,12,14,2755,6.8,12,12,10,8,5,4800,124,3,11,160,-2
"DM, M (C)",30.132785763175907,9,13,13,2683,6.91,11,11,11,8,5,3700,106,14,16,110,-1
D (LC),30.94866529774127,10,13,11,1582,6.95,12,10,12,16,9,3400,107,10,16,110,-4
D (C),29.7741273100616,14,12,11,2816,6.88,13,14,13,13,8,4500,126,2,15,160,0
GK,29.39356605065024,7,15,9,3780,6.96,11,11,11,16,4,4250,109,2,16,110,0
"DM, M (C)",28.49555099247091,10,9,13,2138,6.9,12,8,10,12,7,3000,125,20,13,130,-1
"D (C), DM",29.188227241615333,12,12,10,2791,6.76,11,11,13,11,9,1750,101,1,11,107,0
D (C),29.31690622861054,11,4,10,2972,6.82,9,9,11,8,8,2900,97,1,11,96,0
GK,27.567419575633128,12,10,11,2696,6.73,6,14,11,14,6,3900,117,0,14,140,0
"D (C), DM",31.50444900752909,16,13,14,2515,6.63,1,12,16,12,7,6200,139,11,13,178,-1
"D (C), DM",31.802874743326488,13,11,12,1597,6.74,3,10,13,7,13,2750,89,14,11,94,-6
ST (C),29.13347022587269,13,8,12,2507,7.05,8,11,11,14,5,1750,92,11,4,66,0
