UID,Club,Position,Age,DoB,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
103607,Oxford United,M/AM (RC),34,10/6/1989 (34 years old),7,8,11,51,6.70,11,8,10,10,14,3000,92,122,10,107,81
122112,Warrington,D (C),41,3/1/1982 (41 years old),18,17,8,4380,6.84,14,13,6,14,1,2400,70,120,3,46,60
151366,Barrow,GK,36,24/6/1987 (36 years old),12,13,11,540,6.77,13,12,13,9,5,2000,73,112,6,85,67
151496,Farsley,"AM (LC), ST (C)",35,4/4/1988 (35 years old),18,15,12,3703,7.21,13,16,12,10,14,1250,69,105,3,46,65
151499,Cambridge United,D (C),35,3/3/1988 (35 years old),15,16,15,3837,6.56,11,12,12,17,6,2900,103,128,12,107,95
151741,Newcastle,"WB (L), M/AM (RL)",33,10/9/1989 (33 years old),12,14,13,105,6.73,14,10,14,13,7,5000,124,141,15,185,114
152596,FC Fleury 91,D (C),35,20/3/1988 (35 years old),10,14,12,2070,6.67,13,8,12,7,7,1400,91,106,5,66,80
152937,Swansea,D (RC),34,17/11/1988 (34 years old),16,11,10,341,6.72,10,12,15,12,7,4000,113,131,14,134,105
152985,Boston United,"D (C), DM, M (C)",35,17/5/1988 (35 years old),15,15,15,4013,6.76,13,13,13,11,10,2250,78,120,12,46,68
156330,FeralpiSalò,D (C),33,11/8/1989 (33 years old),15,13,15,3329,6.74,12,13,13,14,12,4950,112,130,6,120,104
156538,Harrogate Town,"D (RC), DM, M (C)",33,3/6/1990 (33 years old),16,12,9,2203,6.95,11,7,15,10,3,2000,82,90,7,85,80
156772,Real Madrid,"DM, M (C)",33,4/1/1990 (33 years old),17,10,14,555,7.05,14,14,13,8,7,7300,156,176,18,178,149
167575,AEK,D (RL),30,29/7/1992 (30 years old),15,12,14,1119,6.93,13,13,11,13,13,5000,115,145,14,130,111
167580,Lens,"WB (R), M/AM (RL)",29,18/4/1994 (29 years old),13,15,12,0,0.00,10,11,12,10,15,3500,120,134,16,161,117
167581,La Nucía,"D (C), DM",29,3/6/1994 (29 years old),11,12,11,2853,7.01,10,10,11,20,8,2350,97,103,12,73,96
167582,RC Grasse,AM (C),28,21/9/1994 (28 years old),8,5,12,2067,6.95,7,10,12,10,14,1500,87,95,3,66,86
167587,Chania,D/WB (L),29,25/1/1994 (29 years old),10,14,12,917,6.73,10,11,11,12,7,2000,90,110,5,91,89
167760,Sutton United,"AM (L), ST (C)",28,4/8/1994 (28 years old),9,9,9,1378,6.71,8,10,8,12,14,2200,84,105,11,85,82
168050,Deinze,"AM (LC), ST (C)",30,12/6/1993 (30 years old),13,12,10,58,6.75,10,11,15,11,10,3500,104,112,12,96,100
168222,RKC Waalwijk,"M (LC), AM (RLC), ST (C)",31,17/4/1992 (31 years old),14,12,14,2755,6.80,12,12,10,8,5,4800,124,127,11,160,122
168233,FC Groningen,"DM, M (C)",30,15/5/1993 (30 years old),9,13,13,2683,6.91,11,11,11,8,5,3700,106,120,16,110,105
168254,FC Groningen,D (LC),30,21/7/1992 (30 years old),10,13,11,1582,6.95,12,10,12,16,9,3400,107,117,16,110,103
168288,FC Twente,D (C),29,23/9/1993 (29 years old),14,12,11,2816,6.88,13,14,13,13,8,4500,126,128,15,160,126
168299,FC Groningen,GK,29,9/2/1994 (29 years old),7,15,9,3780,6.96,11,11,11,16,4,4250,109,111,16,110,109
168335,Panathinaikos,"DM, M (C)",28,3/1/1995 (28 years old),10,9,13,2138,6.90,12,8,10,12,7,3000,125,145,13,130,124
209851,Stevenage,"D (C), DM",29,25/4/1994 (29 years old),12,12,10,2791,6.76,11,11,13,11,9,1750,101,102,11,107,101
210046,First Vienna FC,D (C),29,9/3/1994 (29 years old),11,4,10,2972,6.82,9,9,11,8,8,2900,97,98,11,96,97
210609,TSV Hartberg,GK,27,8/12/1995 (27 years old),12,10,11,2696,6.73,6,14,11,14,6,3900,117,117,14,140,117
211232,Getafe,"D (C), DM",31,31/12/1991 (31 years old),16,13,14,2515,6.63,1,12,16,12,7,6200,139,150,13,178,138
211249,Atlético CP,"D (C), DM",31,13/9/1991 (31 years old),13,11,12,1597,6.74,3,10,13,7,13,2750,89,103,11,94,83
211492,FCSR Haguenau,ST (C),29,15/5/1994 (29 years old),13,8,12,2507,7.05,8,11,11,14,5,1750,92,103,4,66,92
211493,Stade Olympique Romorantinais,D (C),29,24/4/1994 (29 years old),10,9,10,2070,6.63,18,10,10,11,10,1000,82,90,6,66,79
211494,Le Mans FC,D/WB (L),28,2/11/1994 (28 years old),14,14,12,2832,6.75,9,12,12,8,6,1750,98,102,12,85,98
211495,Stade Olympique Romorantinais,"DM, M (C)",28,21/12/1994 (28 years old),13,16,8,2104,6.80,1,8,9,20,9,1000,82,90,6,66,81
211500,Pau,GK,26,21/10/1996 (26 years old),14,12,14,3630,6.89,15,12,12,19,8,3800,117,135,6,117,117
211502,US Saint-Malo,D (C),27,23/12/1995 (27 years old),13,3,10,2597,6.89,14,10,12,9,5,2000,90,125,4,66,88
211504,OH Leuven,"D (LC), WB (L)",26,1/9/1996 (26 years old),13,12,14,3950,6.81,13,10,12,10,7,4500,115,115,12,147,115
211509,Avoine Chinon,"DM, M (C)",28,9/5/1995 (28 years old),10,10,8,1513,6.55,6,10,10,10,10,850,76,84,5,66,74
211515,Rennes,"DM, M/AM (C)",28,9/3/1995 (28 years old),16,15,15,2613,6.90,12,12,13,12,6,4500,135,142,16,161,135
211519,Amiens,AM (RLC),26,13/12/1996 (26 years old),14,13,12,628,6.79,13,12,11,12,7,2500,108,115,11,117,108
211522,Union Berlin,ST (C),27,5/3/1996 (27 years old),13,13,11,104,6.63,16,12,12,12,7,4750,125,130,13,173,125
212565,Chambly,"M/AM (R), ST (C)",32,24/1/1991 (32 years old),8,10,11,1158,7.13,12,10,12,15,8,2250,94,102,4,66,85
215471,Mansfield,D/WB (L),25,18/12/1997 (25 years old),10,4,12,3402,6.84,9,10,10,7,4,1650,91,120,10,85,98
215477,Hereford,M/AM (C),24,22/8/1998 (24 years old),14,9,8,4422,6.88,1,7,9,16,2,600,68,109,9,46,68
215478,Crawley Town,D/WB/M (R),25,25/12/1997 (25 years old),10,11,9,2898,6.86,9,8,7,11,13,1750,87,118,11,85,91
